Module 	X	Y	Z			
398	201.950	771.300	3028.500			
399	245.550	771.300	3028.500			
400	289.150	771.300	3028.500			
401	332.750	771.300	3028.500			
402	376.350	771.300	3028.500			
403	419.950	771.300	3028.500			
404	463.550	771.300	3028.500			
405	507.150	771.300	3028.500			
406	550.750	771.300	3028.500			
407	594.350	771.300	3028.500			
408	637.950	771.300	3028.500			
409	681.550	771.300	3028.500			
410	725.150	771.300	3028.500			
411	768.750	771.300	3028.500			
412	27.550	857.000	3028.500			
413	71.150	857.000	3028.500			
414	114.750	857.000	3028.500			
415	158.350	857.000	3028.500			
416	201.950	857.000	3028.500			
417	245.550	857.000	3028.500			
418	289.150	857.000	3028.500			
419	332.750	857.000	3028.500			
420	376.350	857.000	3028.500			
421	419.950	857.000	3028.500			
422	463.550	857.000	3028.500			
423	507.150	857.000	3028.500			
424	550.750	857.000	3028.500			
425	594.350	857.000	3028.500			
426	637.950	857.000	3028.500			
427	681.550	857.000	3028.500			
428	27.550	942.700	3028.500			
429	71.150	942.700	3028.500			
430	114.750	942.700	3028.500			
431	158.350	942.700	3028.500			
432	201.950	942.700	3028.500			
433	245.550	942.700	3028.500			
434	289.150	942.700	3028.500			
435	332.750	942.700	3028.500			
436	376.350	942.700	3028.500			
437	419.950	942.700	3028.500			
438	463.550	942.700	3028.500			
439	507.150	942.700	3028.500			
440	550.750	942.700	3028.500			
441	114.750	1028.400	3028.500			
442	158.350	1028.400	3028.500			
443	201.950	1028.400	3028.500			
444	245.550	1028.400	3028.500			
445	289.150	1028.400	3028.500			
446	332.750	1028.400	3028.500			
447	376.350	1028.400	3028.500			
448	-158.350	1114.100	3028.500			
449	-201.950	1114.100	3028.500			
450	-245.550	1114.100	3028.500			
451	-114.750	1028.400	3028.500			
452	-158.350	1028.400	3028.500			
453	-201.950	1028.400	3028.500			
454	-245.550	1028.400	3028.500			
455	-289.150	1028.400	3028.500			
456	-332.750	1028.400	3028.500			
457	-376.350	1028.400	3028.500			
458	-419.950	1028.400	3028.500			
459	-463.550	1028.400	3028.500			
460	-507.150	1028.400	3028.500			
461	-27.550	942.700	3028.500			
462	-71.150	942.700	3028.500			
463	-114.750	942.700	3028.500			
464	-158.350	942.700	3028.500			
465	-201.950	942.700	3028.500			
466	-245.550	942.700	3028.500			
467	-289.150	942.700	3028.500			
468	-332.750	942.700	3028.500			
469	-376.350	942.700	3028.500			
470	-419.950	942.700	3028.500			
471	-463.550	942.700	3028.500			
472	-507.150	942.700	3028.500			
473	-550.750	942.700	3028.500			
474	-594.350	942.700	3028.500			
475	-637.950	942.700	3028.500			
476	-27.550	857.000	3028.500			
477	-71.150	857.000	3028.500			
478	-114.750	857.000	3028.500			
479	-158.350	857.000	3028.500			
480	-201.950	857.000	3028.500			
