Module 	X	Y	Z
424	550.750	857.000	3028.5
425	594.350	857.000	3028.5
426	637.950	857.000	3028.5
427	681.550	857.000	3028.5
428	27.550	942.700	3028.5
429	71.150	942.700	3028.5
430	114.750	942.700	3028.5
431	158.350	942.700	3028.5
432	201.950	942.700	3028.5
433	245.550	942.700	3028.5
434	289.150	942.700	3028.5
435	332.750	942.700	3028.5
436	376.350	942.700	3028.5
437	419.950	942.700	3028.5
438	463.550	942.700	3028.5
439	507.150	942.700	3028.5
440	550.750	942.700	3028.5
441	114.750	1028.400	3028.5
442	158.350	1028.400	3028.5
443	201.950	1028.400	3028.5
444	245.550	1028.400	3028.5
445	289.150	1028.400	3028.5
446	332.750	1028.400	3028.5
447	376.350	1028.400	3028.5
448	-158.350	1114.100	3028.5
449	-201.950	1114.100	3028.5
450	-245.550	1114.100	3028.5
451	-114.750	1028.400	3028.5
452	-158.350	1028.400	3028.5
453	-201.950	1028.400	3028.5
454	-245.550	1028.400	3028.5
455	-289.150	1028.400	3028.5
456	-332.750	1028.400	3028.5
457	-376.350	1028.400	3028.5
458	-419.950	1028.400	3028.5
459	-463.550	1028.400	3028.5
460	-507.150	1028.400	3028.5
461	-27.550	942.700	3028.5
462	-71.150	942.700	3028.5
463	-114.750	942.700	3028.5
464	-158.350	942.700	3028.5
465	-201.950	942.700	3028.5
466	-245.550	942.700	3028.5
467	-289.150	942.700	3028.5
468	-332.750	942.700	3028.5
469	-376.350	942.700	3028.5
470	-419.950	942.700	3028.5
471	-463.550	942.700	3028.5
472	-507.150	942.700	3028.5
473	-550.750	942.700	3028.5
474	-594.350	942.700	3028.5
475	-637.950	942.700	3028.5
476	-27.550	857.000	3028.5
477	-71.150	857.000	3028.5
478	-114.750	857.000	3028.5
479	-158.350	857.000	3028.5
480	-201.950	857.000	3028.5
481	-245.550	857.000	3028.5
482	-289.150	857.000	3028.5
483	-332.750	857.000	3028.5
484	-376.350	857.000	3028.5
485	-419.950	857.000	3028.5
486	-463.550	857.000	3028.5
487	-507.150	857.000	3028.5
